doc_id,author,title,year,thesis_type,director,director_source,original_director_field,specialisation,matched_secondary,match_score
HEI_000365--000015_410206,"Degni-Segui, Marie-Claude",Le cadre juridique de la commercialisation des produits de base,2003.0,Master/Other,,,,,False,
HEI_000366--000001_410206,"Barth, Inga-Verena","Genesis, composition and functions of the United States Helsinki Commission from Cold War to post-Cold War",2003.0,Master/Other,,,,,False,
HEI_000366--000002_410206,"Jacomy, Séverine",Just a global toy ?,2003.0,Master/Other,,,,,False,
HEI_000366--000003_410206,"Karaïtidis, Nicolas",De Papandreou à Simitis,2003.0,Master/Other,,,,,False,
HEI_000366--000004_410206,"Min, Eun-Joo",International commercial arbitration embraces information technology,2003.0,Master/Other,,,,,False,
HEI_000366--000005_410206,"Precup, Albert Kazimir",Security Council's action under chapter VII of the Charter and the law of state responsibility,2003.0,Master/Other,,,,,False,
HEI_000366--000006_410206,"Atkins, Michael","A theoretical exploration of security, the environment, and the broadening security agenda with an empirical application in Subsaharan Africa",2003.0,Master/Other,,,,,False,
HEI_000358--000012_410206,Ngo Duc Thang,Vietnam's integration into the GATT,1991.0,Master/Other,,,,,False,
HEI_000366--000007_410206,"Arnould, Maud",The Arab-American community and its influence on U.S. foreign policy,2003.0,Master/Other,,,,,False,
HEI_000366--000008_410206,"Melián, Julián Eduardo",L'Union européenne et le MERCOSUR,2003.0,Master/Other,,,,,False,
HEI_000366--000009_410206,"Kharitian, Stéphanie",Les flux migratoires euro-maghrébins,2003.0,Master/Other,,,,,False,
HEI_000366--000010_411209,"Rigamonti, Pietro",The question of direct effect of WTO law at regional and domestic level in relation to legitimacy and trade liberalization,2004.0,Master/Other,,,,,False,
HEI_000366--000011_411209,"Bays, Florence",Les représentations de l'autre en Suisse dans les sources iconographiques et audiovisuelles (1930-1945),2004.0,Master/Other,,,,,False,
HEI_000366--000012_411209,"Lee, Esther",Israel's counter-terrorism policy,2004.0,Master/Other,,,,,False,
HEI_000366--000013_411209,"Ronchi, Paola Emilia",Microfinance,2004.0,Master/Other,,,,,False,
HEI_000366--000014_411209,"Masegosa, Maria Pilar",La détermination du moment de la fin des hostilités,2004.0,Master/Other,,,,,False,
HEI_000366--000015_411209,"Nudelsman, Susana",East Asian financial crises,2004.0,Master/Other,,,,,False,
HEI_000366--000016_411209,"Bader, Christine","""Soft"" law in international labour law",2004.0,Master/Other,,,,,False,
HEI_000358--000013_410206,"Kubielas, Stanis?aw",Shumpeterian approach to technology in the theory of international trade,1991.0,Master/Other,,,,,False,
HEI_000367--000001_411209,"Rejto, Khadija",Post conflict reconstruction in transitional Afghanistan,2004.0,Master/Other,,,,,False,
HEI_000367--000002_411209,"Winston, Carla","Crimes, criminals and courts",2004.0,Master/Other,,,,,False,
HEI_000367--000003_411209,"Li, Guojun",National treatment under the General Agreement on Trade in Services,2005.0,Master/Other,,,,,False,
HEI_000367--000004_411209,"Bell, Christian",Dutch disease economics and petroleum funds - dynamics of economic and political Dutch disease and the rationale and design of a petroleum fund as counter-instrument in developing and transition oil-rich economies,2005.0,Master/Other,,,,,False,
HEI_000367--000005_411209,"Filipiak, Anna Berenika",Inflation targeting in Poland,2005.0,Master/Other,,,,,False,
HEI_000367--000006_411209,"Blumenthal, Elizabeth",Media development,2005.0,Master/Other,,,,,False,
HEI_000367--000007_411209,"Sorrell, Damien","L'OMC peut-elle et/ou doit-elle ""tout"" gérer ?",2005.0,Master/Other,,,,,False,
HEI_000367--000008_410301,"Chambolle, Julien",Les relations économiques franco-suisses de 1973 à aujourd'hui,2005.0,Master/Other,,,,,False,
HEI_000367--000009_410301,Nguyên Thu Ha,Openness and labour market in Vietnam,2005.0,Master/Other,,,,,False,
HEI_000367--000010_410301,"Pascual, Fanny",Les problèmes posés par la reconnaissance des gouvernements en exil pendant la Seconde guerre mondiale,2005.0,Master/Other,,,,,False,
HEI_000358--000014_410206,"Resmini, Laura",Export promotion services versus export subsidies,1991.0,Master/Other,,,,,False,
HEI_000367--000011_410301,"Kaarmik Romanenko, Oleh",Russia and Ukrainian national identity after the collapse of communism,2006.0,Master/Other,,,,,False,
HEI_000367--000012_410301,"Subilia, Vincent",La notion d'investissement dans la jurisprudence du CIRDI,2006.0,Master/Other,,,,,False,
HEI_000367--000013_410301,"Westad, Cathrine Soebak",The transatlantic relationship after 9.11,2006.0,Master/Other,,,,,False,
HEI_000367--000014_410301,"Martin, Marisa Ann",Legal implications under the WTO agreements of the participation of non-parties in carbon emissions trading under the Kyoto Protocol,2006.0,Master/Other,,,,,False,
HEI_000367--000015_410301,"Tanaka, Asako",The United Nations and world business searching for a new direction of development through the 2000 global compact initiative,2006.0,Master/Other,,,,,False,
HEI_000769--000007_411209,"Martabit, María Victoria","Globalisation, nouvelles expansions du christianisme",2006.0,Master/Other,,,,,False,
HEI_000769--000008_411209,"Elliott, Andrew",Agglomeration in FDI,2006.0,Master/Other,,,,,False,
HEI_000769--000009_AU2AC01233,"Chung, Hyun Jin",International norms on nuclear weapons and technology,2006.0,Master/Other,,,,,False,
HEI_000769--000010_411209,"El Qadim, Nora","""Gérer les migrations""",2007.0,Master/Other,,,,,False,
HEI_000769--000011_411209,"Conroy, Jason",Ethanol,2007.0,Master/Other,,,,,False,
HEI_000358--000015_410206,"Askola, Er ja",Impact of European financial integration on Finland,1991.0,Master/Other,,,,,False,
HEI_000769--000012_411209,"Toolan, Jeffrey John",Rational genocide,2007.0,Master/Other,,,,,False,
HEI_000769--000013_411209,"Scholz, Rüdiger",The WHO framework Convention on Tobacco Control (FCTC) and the law of the World Trade Organization (WTO),2007.0,Master/Other,,,,,False,
IHEID_000368--000005_410301,"Stillman, Grant Bernard",Holding them to their word,2008.0,Master/Other,,,,,False,
IHEID_000368--000006_410301,"Krause, Jana",The United Nations transitional administration in East Timor,2008.0,Master/Other,,,,,False,
IHEID_000368----000001_411209,"Hochberg, Miranda",Between dictatorship and democracy,2008.0,Master/Other,,,,,False,
IHEID_000368----000002_411209,,Imagining alternatives to Kyoto,2010.0,Master/Other,,,,,False,
IHEID_000368--000007_410301,"Schoene, Adam",Restoring rule of law,2008.0,Master/Other,,,,,False,
IHEID_000368--000003_410301,"Grimsmann, Chongcharoen Sornkaew",Sex trafficking,2009.0,Master/Other,,,,,False,
IHEID_000368--000004_410301,"Labnouj, Ahmed",Mutual recognition agreements in trade in services,2009.0,Master/Other,,,,,False,
HEI_000358--000016_410206,"Martin, Gillian S.",From sickles to shovels,1992.0,Master/Other,,,,,False,
HEI_000359--000001_410206,"Ross-Hempstead, Ronald",Trade-related spheres of influence,1992.0,Master/Other,,,,,False,
HEI_000359--000002_410206,"Posner, Theodore Robert",Western European security beyond the Cold War,1992.0,Master/Other,,,,,False,
HEI_000359--000003_410206,"Kreiliger, Ivo Peter",Steps towards independence,1992.0,Master/Other,,,,,False,
HEI_000358--000002_410206,"Tanner, Rolf",The Kurds in the Iran-Iraq war,1990.0,Master/Other,,,,,False,
HEI_000359--000004_410206,"Baba, Nadjibullah",L'Afghanistan,1992.0,Master/Other,,,,,False,
HEI_000359--000005_410206,"Bennigsen, Sabine von",The United Nations Committee on Information,1992.0,Master/Other,,,,,False,
