doc_id,year,author,title,jury_1,jury_2,jury_3,jury_4,jury_5
HEI_000547--000005_411209,1969,,Legislative powers in the United Nations and specialized agencies,A. W. SIJTHOFFLEYDEN,S53 A. W. SIJTHOFFLEYDEN,Michel VIRALLY,Mme Denise,Paul GUGGENHEIM
HEI_000547--000006_411209,1969,,British Administration in Tanganyika from 1920 to 1945,WALTER MORRIS-HALE,Harish KAPUR,M. Alan Burr OVERSTREET,lURSS,Count Thure Bonde..
HEI_000548--000001_411209,1969,,The defense of small states in the nuclear age,CM CO r o,Geneve,Jacques FREYMOND,Louis J. HALLE,M. Urs SCHWARZ
HEI_000548--000002_411209,1969,,La Suisse et la création de l'AELE (1958-1960),PAUL VEYRASSAT,Jacques Freymond,Gerard Curzon,M. Olivier Long,M. Dusan Sidjanski
HEI_000548--000003_411209,1969,,La Suisse dans l'Association européenne de libre-échange (1960-1966),Jacques Freymond,Jacques LHuillier,Gerard Curzon,M. Olivier Long,Achte jedermanns Vaterland
HEI_000548--000004_410301,1969,,Le parti socialiste suisse et l'Internationale,Jacques Freymond,Maurice Baumont,Jean-Charles Biaudet,Dabord,Maurice Bourquin
HEI_000548--000005_410301,1970,,Die diplomatischen Beziehungen des Dritten Reiches zu Argentinien unter besonderer Berücksichtigung ,Dritten Reiches zu Argentinien,Berücksichtigung der Handelspolitik,Arnold Ebel,Jacques FREYMOND,Saul
HEI_000549--000001_410301,1973,,Economic discrimination against the United States in Western Europe (1945-1958),Jacques LHuillier,Gérard Curzon,M. Olivier Long,Jacques Freymond,To Katherine
HEI_000549--000002_410301,1969,,Le facteur juif dans la politique étrangère du IIIe Reich,ELIAHU BEN,Hautes Etudes Internationales,Jacques Freymond,Saül Friedländer,F tu
HEI_000549--000003_410301,1970,,Quelques problèmes de succession d'Etats concernant le Viet-Nam,VIET-NAMX,Michel Virally,Denise Bindschedler,Philippe Cahier,Abor R. Abor
